velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.62547535,-0.71308786,0.09523573,-0.5114702,-0.86358386
-0.6211958,-0.71628404,0.09492286,-0.5114702,-0.86358386
-0.66144717,-0.72050005,0.09528661,-0.5114702,-0.86358386
-0.7570734,-0.72467893,0.0971684,-0.5114702,-0.8703947
-0.8356048,-0.7264832,0.098580435,-0.5114702,-0.8703947
-0.8215679,-0.7254266,0.097684264,-0.5114702,-0.8703947
-0.7342684,-0.7220224,0.09723939,-0.5114702,-0.8703947
-0.59332347,-0.7184928,0.09989726,-0.5114702,-0.8703947
-0.563906,-0.71599144,0.10446164,-0.46825522,-0.8703947
-0.59105694,-0.714981,0.10615835,-0.46825522,-0.8703947
-0.6922489,-0.7161747,0.105088376,-0.46825522,-0.8703947
-0.8138174,-0.7173986,0.10515895,-0.46825522,-0.8703947
-0.8563862,-0.7192522,0.10762991,-0.46825522,-0.90649647
-0.85026175,-0.7217281,0.1120874,-0.46825522,-0.98017687
-0.7959341,-0.72330856,0.114421494,-0.46825522,-0.98017687
-0.7047304,-0.7241273,0.11508271,-0.46825522,-0.98017687
-0.7176646,-0.7242844,0.11506147,-0.46825522,-0.98017687
-0.7759277,-0.72252226,0.11582158,-0.46825522,-0.98017687
-0.8570953,-0.71999687,0.11600602,-0.46825522,-0.98017687
-0.81727695,-0.7167757,0.1143791,-0.46825522,-0.98017687
-0.7331136,-0.71576446,0.11370761,-0.46825522,-0.98017687
-0.5851021,-0.7165449,0.11395768,-0.46825522,-0.98017687
-0.57332,-0.71937174,0.11240451,-0.46825522,-0.98017687
-0.63195455,-0.7202269,0.11144869,-0.46825522,-0.98017687
-0.7132374,-0.71726084,0.11565253,-0.46825522,-0.98017687
-0.83569515,-0.7125482,0.120423,-0.46825522,-0.98017687
-0.825823,-0.7072594,0.120704934,-0.46825522,-0.98017687
-0.7897281,-0.70407075,0.11963186,-0.46825522,-0.98017687
-0.6931032,-0.7041443,0.11968563,-0.46825522,-0.98017687
-0.6984415,-0.7062454,0.120393425,-0.46825522,-0.98017687
-0.7651526,-0.7081398,0.120999455,-0.46825522,-0.98017687
-0.86358386,-0.70689726,0.120726295,-0.46825522,-0.98017687
-0.8300345,-0.7015465,0.11958667,-0.46825522,-0.98017687
-0.7039088,-0.6967195,0.11917303,-0.46825522,-0.98017687
-0.6051531,-0.695179,0.11956732,-0.46825522,-0.98017687
-0.61184806,-0.697838,0.1190127,-0.46825522,-0.98017687
-0.6719643,-0.70234954,0.11993952,-0.46825522,-0.98017687
-0.77179915,-0.7056034,0.12127052,-0.46825522,-0.98017687
-0.76187396,-0.704478,0.12091157,-0.46825522,-0.98017687
-0.6900612,-0.7017324,0.12113547,-0.46825522,-0.98017687
-0.64551497,-0.69960314,0.1222525,-0.46825522,-0.98017687
-0.7041656,-0.6988897,0.12266941,-0.46825522,-0.98017687
